Created with UCDetector 2.0.0	2018-01-05 17:49:32	http://www.ucdetector.org/	Created by class: org.ucdetector.report.TextReport	
Location	Description	Java	Marker	Author
BitneOperacije.<init>(BitneOperacije.java:3)	Class "BitneOperacije" has 0 references	BitneOperacije	org.ucdetector.analyzeMarkerReference	
HIndex.<init>(HIndex.java:3)	Class "HIndex" has 0 references	HIndex	org.ucdetector.analyzeMarkerReference	
RazredSeznam.<init>(RazredSeznam.java:3)	Class "RazredSeznam" has 0 references	RazredSeznam	org.ucdetector.analyzeMarkerReference	
RazredSeznam.tabelca(RazredSeznam.java:23)	Change visibility of Field "Seznam.tabelca" to private	Seznam.tabelca	org.ucdetector.analyzeMarkerVisibilityPrivate	
RazredSeznam.fullness(RazredSeznam.java:24)	Change visibility of Field "Seznam.fullness" to private	Seznam.fullness	org.ucdetector.analyzeMarkerVisibilityPrivate	
Tek2015skup1nal4.<init>(Tek2015skup1nal4.java:1)	Class "Tek2015skup1nal4" has 0 references	Tek2015skup1nal4	org.ucdetector.analyzeMarkerReference	
ProgramingProblems.<init>(ProgramingProblems.java:3)	Class "ProgramingProblems" has 0 references	ProgramingProblems	org.ucdetector.analyzeMarkerReference	
OklepajskiIzrazi.OklepajskiIzrazi_7.<init>(OklepajskiIzrazi_7.java:8)	Class "OklepajskiIzrazi_7" has 0 references	OklepajskiIzrazi_7	org.ucdetector.analyzeMarkerReference	
PotSCrkami.PathLetters.<init>(PathLetters.java:15)	Class "PathLetters" has 0 references	PathLetters	org.ucdetector.analyzeMarkerReference	
mystack.MyStack.<init>(MyStack.java:10)	Class "MyStack" has 0 references	MyStack	org.ucdetector.analyzeMarkerReference	
mystack.MyStack.<init>(MyStack.java:46)	Change visibility of ClassMember "MyStack.Stack" to private - May cause compile errors!	MyStack.Stack	org.ucdetector.analyzeMarkerVisibilityPrivate	
mystack.MyStack.Stack(MyStack.java:51)	Change visibility of Constructor "MyStack.Stack.Stack(int)" to private	MyStack.Stack.Stack(int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
mystack.MyStack.peek(MyStack.java:67)	Change visibility of Method "MyStack.Stack.peek()" to private	MyStack.Stack.peek()	org.ucdetector.analyzeMarkerVisibilityPrivate	
mystack.MyStack.pop(MyStack.java:76)	Change visibility of Method "MyStack.Stack.pop()" to private	MyStack.Stack.pop()	org.ucdetector.analyzeMarkerVisibilityPrivate	
mystack.MyStack.push(MyStack.java:86)	Change visibility of Method "MyStack.Stack.push(int)" to private	MyStack.Stack.push(int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
postFix.postFix.<init>(postFix.java:8)	Class "postFix" has 0 references	postFix	org.ucdetector.analyzeMarkerReference	
